"id","field_name","user_id","financial_year","createdAt","updatedAt"
68,"2.5% CGST",9,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
69,"2.5% SGST",9,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
70,"5% IGST",9,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
71,"amc no.",9,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
72,"Area",9,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
73,"broker",9,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
75,"Quality",9,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
76,"RCM 2.5% CGST",9,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
77,"RCM 2.5% SGST",9,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
78,"RCM 5% CGST",9,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
79,"RCM 5% SGST",9,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
80,"way bill no.",9,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
81,"lorry no.",9,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T06:22:59.973Z"
82,"SGST 6%",9,"2024-2025","2025-02-24T06:29:26.276Z","2025-02-24T06:29:26.276Z"
83,"CGST 6%",9,"2024-2025","2025-02-24T06:29:37.218Z","2025-02-24T06:29:37.218Z"
84,"SGST 9%",9,"2024-2025","2025-02-24T06:29:52.832Z","2025-02-24T06:29:52.832Z"
85,"CGST 9%",9,"2024-2025","2025-02-24T06:29:59.947Z","2025-02-24T06:29:59.947Z"
74,"invoice no.",9,"2024-2025","2025-02-24T06:22:59.973Z","2025-02-24T07:30:43.645Z"