"id","category_id","field_id","field_type","required","field_category","exclude_from_total","type","user_id","financial_year","createdAt","updatedAt"
40,20,68,"text",true,1,false,1,9,"2024-2025",,
25,16,68,"number",true,1,false,1,9,"2024-2025",,
41,20,69,"text",true,1,false,1,9,"2024-2025",,
26,16,69,"number",true,1,false,1,9,"2024-2025",,
42,20,82,"text",true,1,false,1,9,"2024-2025",,
27,17,82,"number",true,1,false,1,9,"2024-2025",,
43,20,83,"text",true,1,false,1,9,"2024-2025",,
28,17,83,"number",true,1,false,1,9,"2024-2025",,
44,20,84,"text",true,1,false,1,9,"2024-2025",,
29,18,84,"number",true,1,false,1,9,"2024-2025",,
46,20,85,"text",true,1,false,1,9,"2024-2025",,
30,18,85,"number",true,1,false,1,9,"2024-2025",,
47,20,74,"text",true,0,false,1,9,"2024-2025",,
39,19,74,"number",true,0,false,1,9,"2024-2025",,
38,18,74,"text",true,0,false,1,9,"2024-2025",,
37,17,74,"text",false,0,false,1,9,"2024-2025",,
36,16,74,"text",true,0,false,1,9,"2024-2025",,